system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Albi\Desktop\LUA_Attack\
display  D   display_settings.c:506  _al_score_display_settings       [   0.11984] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11985] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11985] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11986] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11986] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11987] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11988] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11988] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11989] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11989] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11990] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11991] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11991] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11992] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11992] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11993] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11994] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11996] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.11996] Single Buffer requirement not met.
